Time,X-Position Left Eye,Y-Position Left Eye,Events in the trial,X-Position Rigth Eye,Y-Position Rigth Eye,Saccades,Pupilsize,Blinks
0,965.900024414062,546.299987792969,1,957.099975585938,550.099975585938,0,1057,0
1,966.700012207031,546.799987792969,0,956.799987792969,549.900024414062,0,1057,0
2,967.5,547.200012207031,0,956.900024414062,549.900024414062,0,1056,0
3,967.700012207031,547.599975585938,0,957,549.900024414062,0,1056,0
4,967.900024414062,548,0,957,550,0,1057,0
5,968.099975585938,548.400024414062,0,956.799987792969,550,0,1058,0
6,968,549.200012207031,0,956.400024414062,550.299987792969,0,1060,0
7,968,549.700012207031,0,956,550.799987792969,0,1060,0
8,968.099975585938,550.099975585938,0,955.700012207031,551.400024414062,0,1060,0
9,968.200012207031,550,0,955.599975585938,551.299987792969,0,1060,0
10,968.400024414062,550,0,955.5,551,0,1060,0
11,967.900024414062,550,0,955.400024414062,550.700012207031,0,1061,0
12,967.299987792969,549.900024414062,0,955.299987792969,550.700012207031,0,1061,0
13,966.700012207031,549.5,0,956.099975585938,550.299987792969,0,1060,0
14,966.700012207031,549,0,956.900024414062,549.900024414062,0,1059,0
15,966.5,548.599975585938,0,957.700012207031,549.299987792969,0,1059,0
16,966.200012207031,548.400024414062,0,957.599975585938,548.799987792969,0,1058,0
17,966.700012207031,548.200012207031,0,957.299987792969,548.5,0,1057,0
18,967.400024414062,548.599975585938,0,957,548.5,0,1056,0
19,968,549.200012207031,0,957.099975585938,549.299987792969,0,1056,0
20,967.799987792969,549.200012207031,0,957.200012207031,550,0,1056,0
21,967.700012207031,548.599975585938,0,957,549.700012207031,0,1055,0
22,967.700012207031,548.599975585938,0,956.5,548.900024414062,0,1055,0
23,967.799987792969,549.200012207031,0,956.5,548.599975585938,0,1056,0
24,967.900024414062,550.5,0,957,549.5,0,1058,0
25,967.900024414062,551.200012207031,0,957.5,550.400024414062,0,1061,0
26,967.900024414062,551.400024414062,0,957.599975585938,550.799987792969,0,1062,0
27,968,550.799987792969,0,957.799987792969,550.900024414062,0,1061,0
28,968.599975585938,550,0,957.900024414062,551,0,1060,0
29,969.299987792969,549.099975585938,0,957.700012207031,551,0,1059,0
30,969.299987792969,548.200012207031,0,957.400024414062,550.700012207031,0,1059,0
31,968.5,547.5,0,957.099975585938,550.400024414062,0,1057,0
